website	activeUsers	newUsers	totalUsers	eventCountPerUser	screenPageViewsPerUser	sessions	averageSessionDuration	screenPageViews	engagementRate	target_audience	website_launch	leanpub_launch	coursera_launch	workshop	website_count	leanpub_count	coursera_count
AI for Efficient Programming	133	133	133	22.714285714285715	6.616541353383458	373	337.6169981420911	880	0.546916890080429	Software developers	2023-04-01	2023-11-01	2023-10-01	1 - Fred Hutch Aug 2023	120	7	137
NIH Data Sharing	189	189	189	17.841269841269842	5.08994708994709	403	222.9556248263027	962	0.43424317617866004	Leadership	2022-01-01	2023-07-01	NA	1 - Fred Hutch, Oct 2023	172	3	NA
AI for Decision Makers	77	77	77	63.311688311688314	20.428571428571427	348	501.78718865804603	1573	0.6551724137931034	Leadership	2023-12-01	NA	2024-01-01	Not yet	42	NA	94
DaSL Collection	8	8	8	5.75	1.375	10	91.015368	11	0.4	NA	NA	NA	NA	NA	NA	NA	NA
ITN Website	5720	5691	5720	8.202622377622378	2.5986013986013985	9219	182.6699099362187	14864	0.45937737281700836	NA	NA	NA	NA	NA	NA	NA	NA
Leadership in Cancer Informatics	406	407	406	13.362068965517242	3.7118226600985222	766	226.62392858877286	1507	0.52088772845953	Leadership	2022-01-01	2021-11-01	2021-10-01	1 - Fred Hutch, Aug 2023	396	32	623
Documentation and Usability	769	769	769	9.929778933680105	2.6501950585175553	1133	191.5136067705207	2038	0.526919682259488	Software developers	2021-08-01	NA	2021-10-01	2 - Virtual, Jan 2022 and Virtual, May 2022	734	26	284
Computing for Cancer Informatics	642	642	643	18.79127725856698	5.842679127725857	1363	278.17941423330893	3751	0.5231107850330154	New to data	2023-08-01	2023-11-01	2022-03-01	2 - TGen, Phoenix, Arizona, Aug 2023 and Fred Hutch, Aug 2023	610	20	931
Reproducibility in Cancer Informatics	1352	1338	1355	11.007396449704142	2.996301775147929	2156	195.5315809002783	4051	0.45454545454545453	New to data	2021-12-01	2022-02-01	2022-01-01	3 - ITCR Annual Meeting Training Day, St. Louis, Sept, 2022 and ITCR Annual Meeting Training Day, Chicago, Sept 2023 and TGen, Phoenix, Arizona, Aug 2023	1319	12	359
Advanced Reproducibility	364	364	364	14.280219780219781	3.980769230769231	771	211.1004183242542	1449	0.5071335927367056	Software developers	2022-01-01	2022-12-01	2022-01-01	2 - ITCR Annual Meeting Training Day, Chicago, Sept 2023 and ITCR meeting Training Day, St Louis, Sept 2022	334	15	264
Ethical Data Handling	65	64	66	26.43076923076923	7.7846153846153845	217	270.15925018433177	506	0.5023041474654378	Leadership	2023-08-01	2023-07-01	NA	1 - ISMB/ECCB, Lyon France, July 2023	60	0	NA
OTTR website	835	834	835	4.880239520958084	1.4131736526946108	1112	72.3112787913669	1180	0.32464028776978415	NA	NA	NA	NA	NA	NA	NA	NA
Choosing Genomics Tools	110	109	110	22.545454545454547	6.545454545454546	293	267.82488828668943	720	0.5802047781569966	New to data	2023-08-01	2023-11-01	NA	2 - ISMB/ECCB, Lyon France, July 2023 and Fred Hutch, Aug 2023	97	13	NA
Overleaf and Latex for Scientific Articles	20	20	20	26.85	8.85	54	456.0383594259259	177	0.5925925925925926	Leadership	2023-08-01	2023-07-01	NA	Not yet	17	0	NA
GitHub Automation for Scientists	56	56	56	12.035714285714286	3.267857142857143	110	136.5817965090909	183	0.4	Software developers	2023-11-01	2024-01-01	2024-01-01	1- ITCR Annual Meeting Training Day, Chicago, Sept 2023	23	2	NA
metricminer.org	57	57	57	6.578947368421052	1.9473684210526316	85	151.2525634117647	111	0.4235294117647059	NA	NA	NA	NA	NA	NA	NA	NA
